loggingTime(txt),loggingSample(N),identifierForVendor(txt),deviceID(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationCourse(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z)
2020-07-29 11:16:06.152 +0200,1,86806BB0-2177-43EE-B23F-9888E35C9758,iPhone-8,1596014165.059988,50.11379283857542,8.679008698098993,109.6603,0,108.6328125,4,10,-9999
2020-07-29 11:16:08.160 +0200,2,86806BB0-2177-43EE-B23F-9888E35C9758,iPhone-8,1596014167.064705,50.11379166510898,8.679009620108342,109.7411,0.23,131.8359375,4,10,-9999
2020-07-29 11:16:10.163 +0200,3,86806BB0-2177-43EE-B23F-9888E35C9758,iPhone-8,1596014169.068541,50.11379166510898,8.679009620108342,109.1831,0,345.234375,4,10,-9999
2020-07-29 11:16:12.166 +0200,4,86806BB0-2177-43EE-B23F-9888E35C9758,iPhone-8,1596014172.059615,50.11379166510898,8.679009620108342,108.6876,0,345.234375,4,10,-9999
2020-07-29 11:16:14.168 +0200,5,86806BB0-2177-43EE-B23F-9888E35C9758,iPhone-8,1596014174.07316,50.11379166510898,8.679009620108342,108.8327,0,345.234375,4,10,-9999
2020-07-29 11:16:16.171 +0200,6,86806BB0-2177-43EE-B23F-9888E35C9758,iPhone-8,1596014176.080795,50.11379166510898,8.679009620108342,108.5263,0,345.234375,4,10,-9999
2020-07-29 11:16:18.174 +0200,7,86806BB0-2177-43EE-B23F-9888E35C9758,iPhone-8,1596014176.080795,50.11379166510898,8.679009620108342,108.5263,0,345.234375,4,10,-9999
2020-07-29 11:16:20.179 +0200,8,86806BB0-2177-43EE-B23F-9888E35C9758,iPhone-8,1596014179.054707,50.11379149747091,8.679016744726038,108.5776,0.47,68.90625,4,10,-9999
2020-07-29 11:16:22.179 +0200,9,86806BB0-2177-43EE-B23F-9888E35C9758,iPhone-8,1596014182.056224,50.11379149747091,8.679016744726038,108.4717,0,68.90625,4,10,-9999
2020-07-29 11:16:24.182 +0200,10,86806BB0-2177-43EE-B23F-9888E35C9758,iPhone-8,1596014182.056224,50.11379149747091,8.679016744726038,108.4717,0,68.90625,4,10,-9999
2020-07-29 11:16:26.185 +0200,11,86806BB0-2177-43EE-B23F-9888E35C9758,iPhone-8,1596014185.055134,50.11379149747091,8.679016744726038,108.3568,0,68.90625,4,10,-9999
2020-07-29 11:16:28.188 +0200,12,86806BB0-2177-43EE-B23F-9888E35C9758,iPhone-8,1596014188.054848,50.11379149747091,8.679016744726038,108.3483,0,68.90625,4,10,-9999
2020-07-29 11:16:30.191 +0200,13,86806BB0-2177-43EE-B23F-9888E35C9758,iPhone-8,1596014190.056821,50.11379149747091,8.679016744726038,108.3645,0,68.90625,4,10,-9999
2020-07-29 11:16:32.193 +0200,14,86806BB0-2177-43EE-B23F-9888E35C9758,iPhone-8,1596014190.056821,50.11379149747091,8.679016744726038,108.3645,0,68.90625,4,10,-9999
2020-07-29 11:16:34.196 +0200,15,86806BB0-2177-43EE-B23F-9888E35C9758,iPhone-8,1596014193.058847,50.11379560460347,8.679032167427874,109.2646,0.3,40.4296875,4,10,-9999
2020-07-29 11:16:36.199 +0200,16,86806BB0-2177-43EE-B23F-9888E35C9758,iPhone-8,1596014196.05345,50.11380159766424,8.679074915134048,109.8246,1.02,83.671875,4,10,-9999
2020-07-29 11:16:38.202 +0200,17,86806BB0-2177-43EE-B23F-9888E35C9758,iPhone-8,1596014198.082299,50.11380285494971,8.679098971196151,108.6046,1.34,72.7734375,4,10,-9999
2020-07-29 11:16:40.205 +0200,18,86806BB0-2177-43EE-B23F-9888E35C9758,iPhone-8,1596014198.082299,50.11380285494971,8.679098971196151,108.6046,1.34,72.7734375,4,10,-9999
2020-07-29 11:16:42.208 +0200,19,86806BB0-2177-43EE-B23F-9888E35C9758,iPhone-8,1596014201.075385,50.11380008892166,8.679137360312676,109.4174,1.05,113.5546875,4,10,-9999
2020-07-29 11:16:44.210 +0200,20,86806BB0-2177-43EE-B23F-9888E35C9758,iPhone-8,1596014204.06344,50.11378822852868,8.679188154645896,108.7991,1.65,97.3828125,3,10,-9999
2020-07-29 11:16:46.213 +0200,21,86806BB0-2177-43EE-B23F-9888E35C9758,iPhone-8,1596014204.06344,50.11378822852868,8.679188154645896,108.7991,1.65,97.3828125,3,10,-9999
2020-07-29 11:16:48.220 +0200,22,86806BB0-2177-43EE-B23F-9888E35C9758,iPhone-8,1596014207.06301,50.11378227737742,8.679241715007162,109.0021,1.37,81.2109375,3,10,-9999
2020-07-29 11:16:50.218 +0200,23,86806BB0-2177-43EE-B23F-9888E35C9758,iPhone-8,1596014209.063856,50.11378290602016,8.679276667543387,109.0055,1.37,87.890625,3,10,-9999
2020-07-29 11:16:52.221 +0200,24,86806BB0-2177-43EE-B23F-9888E35C9758,iPhone-8,1596014212.064473,50.11378223546791,8.679327378057575,109.3505,1.22,80.15625,3,10,-9999
2020-07-29 11:16:54.224 +0200,25,86806BB0-2177-43EE-B23F-9888E35C9758,iPhone-8,1596014212.064473,50.11378223546791,8.679327378057575,109.3505,1.22,80.15625,3,10,-9999
2020-07-29 11:16:56.227 +0200,26,86806BB0-2177-43EE-B23F-9888E35C9758,iPhone-8,1596014215.069303,50.11377494321215,8.67937062867794,109.0423,1.03,95.2734375,3,10,-9999
